module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,load,load,load,load,load,load,load,load,load,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance,net_load,action,converted_action,converted_action
module_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_current,load_met,reward,load_current,load_met,reward,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid,,,battery_0,grid_0
0,49235.38090738713,0.0,-492353.8090738713,0.0,10.0,0.0,-0.0,0.01,0.180924313,18.0924313,0.0,0.0,100.0,1.0,0.08,-8.0,-29745.5656564571,29745.5656564571,0.0,-7736.35166131583,7736.35166131583,0.0,-11853.4635896142,11853.4635896142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-492361.8090738713,-492361.8090738713,49335.38090738713,49335.38090738713,49235.38090738713,0.0,100.0,0.0,0.0,49335.38090738713,49335.38090738713,1,0.0,100.0
1,49173.71254243053,0.0,-491737.12542430527,0.0,10.0,0.0,-0.0,0.01,0.18330306,18.330306,0.0,0.0,100.0,1.0,0.08,-8.0,-29824.282714598605,29824.282714598605,0.0,-7597.562273045753,7597.562273045753,0.0,-11851.867554786171,11851.867554786171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-491745.12542430527,-491745.12542430527,49273.71254243053,49273.71254243053,49173.71254243053,0.0,100.0,0.0,0.0,49273.71254243053,49273.71254243053,1,0.0,100.0
2,45710.54259194408,0.0,-457105.4259194408,0.0,10.0,0.0,-0.0,0.01,0.195031339,19.503133899999998,0.0,0.0,100.0,1.0,0.08,-8.0,-26235.69894975452,26235.69894975452,0.0,-7724.822122579125,7724.822122579125,0.0,-11850.02151961044,11850.02151961044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-457113.4259194408,-457113.4259194408,45810.54259194408,45810.54259194408,45710.54259194408,0.0,100.0,0.0,0.0,45810.54259194408,45810.54259194408,1,0.0,100.0
3,45577.42494924733,0.0,-455774.2494924733,0.0,10.0,0.0,-0.0,0.01,0.190779281,19.0779281,0.0,0.0,100.0,1.0,0.08,-8.0,-26231.915581092708,26231.915581092708,0.0,-7597.789139992385,7597.789139992385,0.0,-11847.720228162236,11847.720228162236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-455782.2494924733,-455782.2494924733,45677.42494924733,45677.42494924733,45577.42494924733,0.0,100.0,0.0,0.0,45677.42494924733,45677.42494924733,1,0.0,100.0
4,47830.26243315096,0.0,-478302.6243315096,0.0,10.0,0.0,-0.0,0.01,0.1653023559999999,16.53023559999999,0.0,0.0,100.0,1.0,0.08,-8.0,-27948.95685947087,27948.95685947087,0.0,-8089.288591351973,8089.288591351973,0.0,-11892.01698232812,11892.01698232812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-478310.6243315096,-478310.6243315096,47930.26243315096,47930.26243315096,47830.26243315096,0.0,100.0,0.0,0.0,47930.26243315096,47930.26243315096,1,0.0,100.0
5,52169.97953360093,0.0,-521699.79533600924,0.0,10.0,0.0,-0.0,0.01,0.148113168,14.811316799999998,0.0,0.0,100.0,1.0,0.11,-11.0,-30890.04416213115,30890.04416213115,0.0,-8690.610917262997,8690.610917262997,0.0,-12689.324454206777,12689.324454206777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-521710.79533600924,-521710.79533600924,52269.97953360093,52269.97953360093,52169.97953360093,0.0,100.0,0.0,0.0,52269.97953360093,52269.97953360093,1,0.0,100.0
6,74615.48547188338,0.0,-746154.8547188338,0.0,10.0,0.0,-0.0,0.01,0.140914668,14.0914668,0.0,0.0,100.0,1.0,0.11,-11.0,-51487.6877592076,51487.6877592076,0.0,-10274.963976463914,10274.963976463914,0.0,-12952.833736211873,12952.833736211873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-746165.8547188338,-746165.8547188338,74715.48547188338,74715.48547188338,74615.48547188338,0.0,100.0,0.0,0.0,74715.48547188338,74715.48547188338,1,0.0,100.0
7,84777.44736569413,0.0,-847774.4736569412,0.0,10.0,0.0,-0.0,0.01,0.143098532,14.3098532,0.0,0.0,100.0,1.0,0.11,-11.0,-64382.466697314216,64382.466697314216,0.0,-9603.175204025763,9603.175204025763,0.0,-11415.12874560415,11415.12874560415,0.0,0.0,0.0,0.0,0.0,0.0,523.32328125,523.32328125,0.0,-847785.4736569412,-847785.4736569412,85400.77064694413,85400.77064694413,85300.77064694413,0.0,100.0,0.0,0.0,85400.77064694413,84877.44736569413,1,0.0,100.0
